epoch,loss,val_loss
1,12.00766,5.11988
2,6.76730,4.56888
3,6.36091,4.31223
4,6.21320,4.30638
5,5.97093,4.18980
6,6.02540,4.20757
7,5.87196,4.21364
8,5.81053,4.15852
9,5.74400,4.02295
10,5.54272,4.02878
11,5.66329,3.85940
12,5.51760,3.87681
13,5.46227,3.88305
14,5.47994,3.80398
15,5.49498,3.89314
16,5.39396,3.79870
17,5.44035,3.81739
18,5.39735,3.86130
19,5.42887,3.81319
20,5.42741,3.80566
21,5.28982,3.79556
22,5.28455,3.80649
23,5.24055,3.82835
24,5.16642,3.68392
25,5.46016,3.74385
26,5.28415,3.77512
27,5.31197,3.76603
28,5.20477,3.64293
29,5.24957,3.75080
30,5.26118,3.75489
31,5.20222,3.70620
32,5.23638,3.72190
33,5.30206,3.72916
34,5.20409,3.68180
35,5.20602,3.75928
36,5.13230,3.70777
37,5.21237,3.73116
38,5.22295,3.71161
39,5.16595,3.69844
40,5.16927,3.74035
41,5.24905,3.71049
42,5.17587,3.72711
43,5.20130,3.73099
44,5.14753,3.73542
45,5.18372,3.71825
46,5.20052,3.69358
47,5.17910,3.68906
48,5.09107,3.71030
49,5.05474,3.73371
50,5.25600,3.69479
51,5.43965,4.13230
52,4.59200,3.67498
53,4.40593,3.32272
54,4.16100,3.26289
55,4.10441,3.10144
56,3.89518,3.00356
57,3.68362,2.99570
58,3.47260,2.69860
59,3.42373,2.55767
60,3.34296,2.52647
61,3.29345,2.65178
62,3.19793,2.56655
63,3.15588,2.32121
64,3.02416,2.33737
65,3.03962,2.21161
66,2.90505,2.20930
67,2.83604,2.07617
68,2.80486,2.09173
69,2.74975,2.05686
70,2.67286,2.06359
71,2.63270,2.00123
72,2.71608,2.00513
73,2.72662,2.04466
74,2.57185,1.98758
75,2.41488,1.99261
76,2.50344,1.96584
77,2.55272,1.90716
78,2.51934,1.92486
79,2.47738,1.95288
80,2.42279,1.89735
81,2.42647,1.90653
82,2.42791,1.87245
83,2.46165,1.90132
84,2.52597,1.85072
85,2.33708,1.89516
86,2.34850,1.89454
87,2.35622,1.86815
88,2.38757,1.84984
89,2.30234,1.84469
90,2.30258,1.86775
91,2.34060,1.84876
92,2.28265,1.86261
93,2.37002,1.86782
94,2.42709,1.84080
95,2.36560,1.84843
96,2.32350,1.84238
97,2.26932,1.83860
98,2.34424,1.81979
99,2.21487,1.81407
100,2.29556,1.81694
