epoch,loss,val_loss
1,1028.70129,82.61398
2,71.41363,47.00433
3,47.70455,36.16585
4,37.20393,28.46095
5,30.25933,24.31240
6,26.35325,20.71401
7,23.19419,18.64054
8,20.90400,17.45371
9,19.60416,15.32783
10,18.02850,15.35787
11,16.94108,14.68075
12,16.19962,13.96073
13,15.50267,13.78871
14,15.45071,12.64929
15,14.64698,12.91266
16,14.08708,12.20125
17,13.70844,11.81810
18,13.42813,12.60201
19,13.13581,13.16808
20,12.80915,11.00398
21,12.24094,11.69129
22,12.22960,11.58466
23,11.87067,10.57213
24,11.79650,9.95142
25,11.68714,10.89263
26,11.42951,10.47960
27,11.02782,10.20186
28,10.64651,10.48477
29,10.81935,10.53702
30,11.06366,10.42909
31,10.68118,8.97700
32,10.40993,9.47351
33,10.27393,9.76208
34,10.62174,9.27877
35,10.25867,9.67824
36,10.12594,9.51991
37,9.83275,8.90369
38,9.80733,9.39987
39,9.95060,8.69134
40,9.92553,8.46651
41,9.14622,8.84228
42,9.27104,8.11432
43,9.50786,9.40178
44,9.63737,9.12636
45,9.59614,8.87110
46,9.18989,8.05914
47,9.35417,9.48221
48,8.93884,9.35973
49,9.35774,8.09309
50,9.06456,8.87151
51,9.40657,9.22221
52,8.76579,9.69146
53,8.74016,8.82653
54,8.17433,8.30285
55,8.26351,8.91744
56,7.89359,8.42054
57,7.68226,8.08072
58,7.91335,8.94512
59,7.28725,9.41765
60,7.53365,8.24475
61,7.14831,7.45197
62,6.95265,7.92569
63,6.72441,7.58484
64,7.14649,6.51090
65,6.38418,6.73200
66,6.92858,7.30109
67,6.57663,6.83008
68,6.67022,7.15813
69,6.66262,7.09663
70,6.50727,7.57153
71,6.34411,6.13280
72,6.23168,6.38993
73,6.32230,7.12884
74,5.94489,6.86340
75,6.05118,7.51492
76,6.09860,6.03571
77,5.81603,5.69771
78,5.84549,7.00440
79,5.93085,6.28003
80,5.70898,6.89918
81,5.39288,6.55570
82,5.48422,5.78498
83,5.37492,7.00654
84,5.46976,6.81718
85,5.42700,6.84843
86,5.19942,6.69124
87,5.40819,5.82283
88,5.34527,5.94235
89,4.89099,6.88282
90,5.06827,5.55701
91,5.09442,6.28570
92,5.22460,5.85048
93,4.82126,6.40307
94,4.96143,5.99767
95,4.81885,6.44995
96,4.86492,5.81080
97,4.69625,6.70660
98,4.89319,6.31658
99,5.00317,6.18711
100,5.02023,5.46027
